backend,length,time
base,0,1.633
hint,0,1.032
reticle,0,1.032
base,1,1.748
hint,1,1.070
reticle,1,1.070
base,2,1.723
hint,2,1.070
reticle,2,1.070
base,3,1.777
hint,3,1.049
reticle,3,1.049
