backend,length,time
base,3,0.562
base,5,0.91
base,7,0.935
base,9,1.073
hint,3,0.562
hint,5,0.91
hint,7,0.935
hint,9,1.073
reticle,3,1.837
reticle,5,2.707
reticle,7,3.292
reticle,9,4.659
