backend,length,number,primitive
base,0,705,lut
base,0,0,dsp
hint,0,0,lut
hint,0,15,dsp
reticle,0,0,lut
reticle,0,15,dsp
base,1,2115,lut
base,1,0,dsp
hint,1,0,lut
hint,1,45,dsp
reticle,1,0,lut
reticle,1,45,dsp
base,2,4230,lut
base,2,0,dsp
hint,2,0,lut
hint,2,90,dsp
reticle,2,0,lut
reticle,2,90,dsp
base,3,8460,lut
base,3,0,dsp
hint,3,0,lut
hint,3,180,dsp
reticle,3,0,lut
reticle,3,180,dsp
