backend,length,time
base,3,104.21979968994856
hint,3,104.3327816138044
reticle,3,0.23906750045716763
base,5,104.33776562660933
hint,5,104.36835126578808
reticle,5,0.3736841520294547
base,7,104.67946762219071
hint,7,104.23276577144861
reticle,7,0.23906750045716763
base,9,104.84365764819086
hint,9,104.6051094867289
reticle,9,0.5736841520294547
